parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness,expiration_date,is_quoted,abs_mny_distance,IV_mid
2026-02-25 23:01:23.365000,SR125CI9,CALL,125.0,3.562,135.0,0.0,317.1,0,67.5,-2.0,2.5368000000000004,2029-09-18,False,1.5368000000000004,
2026-02-25 23:01:23.705650,SR185CU9,PUT,185.0,3.562,0.0,0.0,317.1,0,0.0,,1.714054054054054,2029-09-18,False,0.7140540540540541,
2026-02-25 23:01:23.981718,SR350CI8,CALL,350.0,2.565,0.0,0.0,317.1,0,0.0,,0.906,2028-09-19,False,0.09399999999999997,
2026-02-25 23:01:24.253901,SR270CR6,PUT,270.0,0.304,0.0,3.0,317.1,0,1.5,2.0,1.1744444444444446,2026-06-16,False,0.17444444444444462,0.2605014106808673
2026-02-25 23:01:24.519739,SR315CX9,PUT,315.0,3.811,0.0,0.0,317.1,0,0.0,,1.0066666666666668,2029-12-18,False,0.006666666666666821,
2026-02-25 23:01:24.782325,SR230CR8,PUT,230.0,2.316,0.0,0.0,317.1,0,0.0,,1.378695652173913,2028-06-20,False,0.3786956521739131,
2026-02-25 23:01:25.050479,SR260CB6D,CALL,260.0,-0.003,0.0,0.0,317.1,0,0.0,,1.2196153846153848,2026-02-24,False,0.21961538461538477,
2026-02-25 23:01:25.311757,SR245CO0,PUT,245.0,4.06,0.0,0.0,317.1,0,0.0,,1.2942857142857145,2030-03-19,False,0.2942857142857145,
2026-02-25 23:01:25.581885,SR150CU9,PUT,150.0,3.562,0.0,0.0,317.1,0,0.0,,2.1140000000000003,2029-09-18,False,1.1140000000000003,
2026-02-25 23:01:25.848240,SR350CC9,CALL,350.0,3.064,0.0,0.0,317.1,0,0.0,,0.906,2029-03-21,False,0.09399999999999997,
2026-02-25 23:01:26.105675,SR235CI8,CALL,235.0,2.565,0.0,0.0,317.1,0,0.0,,1.3493617021276596,2028-09-19,False,0.3493617021276596,
2026-02-25 23:01:26.365069,SR340CI8,CALL,340.0,2.565,0.0,0.0,317.1,0,0.0,,0.9326470588235296,2028-09-19,False,0.0673529411764704,
2026-02-25 23:01:26.623319,SR70CX9,PUT,70.0,3.811,0.0,0.0,317.1,0,0.0,,4.53,2029-12-18,False,3.5300000000000002,
2026-02-25 23:01:26.888993,SR290CX8,PUT,290.0,2.815,0.0,0.0,317.1,0,0.0,,1.093448275862069,2028-12-20,False,0.09344827586206894,
2026-02-25 23:01:27.148365,SR235CC0,CALL,235.0,4.06,0.0,0.0,317.1,0,0.0,,1.3493617021276596,2030-03-19,False,0.3493617021276596,
2026-02-25 23:01:27.405747,SR215CI8,CALL,215.0,2.565,0.0,0.0,317.1,0,0.0,,1.4748837209302326,2028-09-19,False,0.47488372093023257,
2026-02-25 23:01:27.658754,SR270CX8,PUT,270.0,2.815,0.0,0.0,317.1,0,0.0,,1.1744444444444446,2028-12-20,False,0.17444444444444462,
2026-02-25 23:01:27.922275,SR155CI9,CALL,155.0,3.562,0.0,0.0,317.1,0,0.0,,2.0458064516129033,2029-09-18,False,1.0458064516129033,
2026-02-25 23:01:28.185987,SR325CL9,CALL,325.0,3.811,0.0,0.0,317.1,0,0.0,,0.9756923076923076,2029-12-18,False,0.024307692307692363,
2026-02-25 23:01:28.448408,SR125CF9,CALL,125.0,3.313,0.0,0.0,317.1,0,0.0,,2.5368000000000004,2029-06-20,False,1.5368000000000004,
2026-02-25 23:01:28.713992,SR125CX9,PUT,125.0,3.811,0.0,0.0,317.1,0,0.0,,2.5368000000000004,2029-12-18,False,1.5368000000000004,
