expiration_date,contracts_total,quoted_contracts,quoted_share_pct,quoted_strikes,avg_volume_quoted,median_volume_quoted,median_spread_pct_quoted,mean_spread_pct_quoted,atm_quoted_contracts,otm_quoted_contracts,spot_reference
2026-03-03,30,24,80.0,11,10864.04,3282.0,0.1388,0.5761,12,12,317.11
2026-03-11,38,29,76.32,11,489.52,0.0,0.3516,0.8748,10,19,317.1
