,time,close,r,volatility20,volatility60
0,2020-02-27 00:00:00+00:00,242.88,,,
1,2020-02-28 00:00:00+00:00,233.36,-0.039985168647799045,,
2,2020-03-02 00:00:00+00:00,228.17,-0.0224913604019872,,
3,2020-03-03 00:00:00+00:00,236.63,0.036406774629481005,,
4,2020-03-04 00:00:00+00:00,235.27,-0.0057639489946322816,,
5,2020-03-05 00:00:00+00:00,232.33,-0.012575016005131067,,
6,2020-03-06 00:00:00+00:00,219.99,-0.0545766840133787,,
7,2020-03-10 00:00:00+00:00,201.2,-0.08928265254823381,,
8,2020-03-11 00:00:00+00:00,194.53,-0.0337130454158584,,
9,2020-03-12 00:00:00+00:00,175.91,-0.10061389219891154,,
10,2020-03-13 00:00:00+00:00,198.6,0.12132025100025814,,
11,2020-03-16 00:00:00+00:00,195.85,-0.013943691499231855,,
12,2020-03-17 00:00:00+00:00,184.01,-0.062358956153557396,,
13,2020-03-18 00:00:00+00:00,174.27,-0.05438428328573209,,
14,2020-03-19 00:00:00+00:00,189.51,0.08383597290616773,,
15,2020-03-20 00:00:00+00:00,195.69,0.03208998089739563,,
16,2020-03-23 00:00:00+00:00,183.37,-0.06502580491504115,,
17,2020-03-24 00:00:00+00:00,192.64,0.04931719255938295,,
18,2020-03-25 00:00:00+00:00,188.08,-0.023955757888641977,,
19,2020-03-26 00:00:00+00:00,188.07,-5.317027782733861e-05,,
20,2020-03-27 00:00:00+00:00,180.38,-0.04174849721642469,0.05628908678279129,
21,2020-03-30 00:00:00+00:00,183.0,0.014420416103858861,0.05632634072978883,
22,2020-03-31 00:00:00+00:00,187.21,0.022744828578756118,0.05679571021411269,
23,2020-04-01 00:00:00+00:00,184.78,-0.013065053177578008,0.05574062161359545,
24,2020-04-02 00:00:00+00:00,186.95,0.011675273180523518,0.05598521001737609,
25,2020-04-03 00:00:00+00:00,185.64,-0.007031887050147661,0.05599330016030464,
26,2020-04-06 00:00:00+00:00,190.7,0.026892198233398442,0.055635188845899984,
27,2020-04-07 00:00:00+00:00,197.63,0.035695083045969606,0.052874068273653874,
28,2020-04-08 00:00:00+00:00,200.29,0.01336972066079805,0.052381850518695434,
29,2020-04-09 00:00:00+00:00,203.61,0.016440083070635655,0.04659669277778454,
30,2020-04-10 00:00:00+00:00,201.99,-0.007988208158477453,0.03815059224051951,
31,2020-04-13 00:00:00+00:00,198.26,-0.018638890620547924,0.0382606795375765,
32,2020-04-14 00:00:00+00:00,197.37,-0.004499160838735095,0.035323440624654354,
33,2020-04-15 00:00:00+00:00,186.07,-0.0589571927664662,0.035730327651785285,
34,2020-04-16 00:00:00+00:00,188.5,0.012975059888515581,0.03044369149348491,
35,2020-04-17 00:00:00+00:00,191.8,0.017355155561272376,0.029790720476423563,
36,2020-04-20 00:00:00+00:00,189.32,-0.013014457411290752,0.025927476640306275,
37,2020-04-21 00:00:00+00:00,186.05,-0.017423250245415658,0.023657909744606714,
38,2020-04-22 00:00:00+00:00,190.2,0.022060695318658403,0.023621277365723153,
39,2020-04-23 00:00:00+00:00,190.94,0.003883092458597258,0.023632291643621416,
40,2020-04-24 00:00:00+00:00,188.91,-0.010688531401126165,0.021627529025376832,
41,2020-04-27 00:00:00+00:00,188.9,-5.2936661297131715e-05,0.02144233983849422,
42,2020-04-28 00:00:00+00:00,192.8,0.020435607668981292,0.021328326307282305,
43,2020-04-29 00:00:00+00:00,195.8,0.015440347919964714,0.02125814229099216,
44,2020-04-30 00:00:00+00:00,197.25,0.007378229629573659,0.021186339352240895,
45,2020-05-04 00:00:00+00:00,193.69,-0.018213016871835783,0.02159963381731903,
46,2020-05-05 00:00:00+00:00,194.75,0.0054577418967098395,0.020823762660513126,
47,2020-05-06 00:00:00+00:00,195.7,0.004866189651172906,0.01920219285767414,
