,parsing_datetime,code,type,strike,T,bid,ask,BA,volume,mid,spread_pct,moneyness
0,2026-02-25 23:01:23.365000,SR125CI9,CALL,125.0,3.562,135.0,0.0,317.1,0,67.5,-2.0,2.5368000000000004
1,2026-02-25 23:01:23.705650,SR185CU9,PUT,185.0,3.562,0.0,0.0,317.1,0,0.0,,1.714054054054054
2,2026-02-25 23:01:23.981718,SR350CI8,CALL,350.0,2.565,0.0,0.0,317.1,0,0.0,,0.906
3,2026-02-25 23:01:24.253901,SR270CR6,PUT,270.0,0.304,0.0,3.0,317.1,0,1.5,2.0,1.1744444444444446
4,2026-02-25 23:01:24.519739,SR315CX9,PUT,315.0,3.811,0.0,0.0,317.1,0,0.0,,1.0066666666666668
5,2026-02-25 23:01:24.782325,SR230CR8,PUT,230.0,2.316,0.0,0.0,317.1,0,0.0,,1.378695652173913
6,2026-02-25 23:01:25.050479,SR260CB6D,CALL,260.0,-0.003,0.0,0.0,317.1,0,0.0,,1.2196153846153848
7,2026-02-25 23:01:25.311757,SR245CO0,PUT,245.0,4.06,0.0,0.0,317.1,0,0.0,,1.2942857142857145
8,2026-02-25 23:01:25.581885,SR150CU9,PUT,150.0,3.562,0.0,0.0,317.1,0,0.0,,2.1140000000000003
9,2026-02-25 23:01:25.848240,SR350CC9,CALL,350.0,3.064,0.0,0.0,317.1,0,0.0,,0.906
10,2026-02-25 23:01:26.105675,SR235CI8,CALL,235.0,2.565,0.0,0.0,317.1,0,0.0,,1.3493617021276596
11,2026-02-25 23:01:26.365069,SR340CI8,CALL,340.0,2.565,0.0,0.0,317.1,0,0.0,,0.9326470588235295
12,2026-02-25 23:01:26.623319,SR70CX9,PUT,70.0,3.811,0.0,0.0,317.1,0,0.0,,4.53
13,2026-02-25 23:01:26.888993,SR290CX8,PUT,290.0,2.815,0.0,0.0,317.1,0,0.0,,1.093448275862069
14,2026-02-25 23:01:27.148365,SR235CC0,CALL,235.0,4.06,0.0,0.0,317.1,0,0.0,,1.3493617021276596
15,2026-02-25 23:01:27.405747,SR215CI8,CALL,215.0,2.565,0.0,0.0,317.1,0,0.0,,1.4748837209302326
16,2026-02-25 23:01:27.658754,SR270CX8,PUT,270.0,2.815,0.0,0.0,317.1,0,0.0,,1.1744444444444446
17,2026-02-25 23:01:27.922275,SR155CI9,CALL,155.0,3.562,0.0,0.0,317.1,0,0.0,,2.0458064516129033
18,2026-02-25 23:01:28.185987,SR325CL9,CALL,325.0,3.811,0.0,0.0,317.1,0,0.0,,0.9756923076923077
19,2026-02-25 23:01:28.448408,SR125CF9,CALL,125.0,3.313,0.0,0.0,317.1,0,0.0,,2.5368000000000004
20,2026-02-25 23:01:28.713992,SR125CX9,PUT,125.0,3.811,0.0,0.0,317.1,0,0.0,,2.5368000000000004
21,2026-02-25 23:01:28.978028,SR285CX8,PUT,285.0,2.815,0.0,0.0,317.1,0,0.0,,1.1126315789473684
22,2026-02-25 23:01:29.247008,SR325CO8,PUT,325.0,2.048,0.0,0.0,317.1,0,0.0,,0.9756923076923077
23,2026-02-25 23:01:29.506882,SR75CI9,CALL,75.0,3.562,0.0,0.0,317.1,0,0.0,,4.228000000000001
24,2026-02-25 23:01:29.779595,SR300CB6D,CALL,300.0,-0.003,0.0,0.0,317.1,2709,0.0,,1.0570000000000002
25,2026-02-25 23:01:30.046622,SR125CC8,CALL,125.0,2.048,0.0,0.0,317.1,0,0.0,,2.5368000000000004
26,2026-02-25 23:01:30.304705,SR245CC8,CALL,245.0,2.048,0.0,0.0,317.1,0,0.0,,1.2942857142857145
27,2026-02-25 23:01:30.573898,SR245CF8,CALL,245.0,2.316,0.0,0.0,317.1,0,0.0,,1.2942857142857145
28,2026-02-25 23:01:30.844828,SR335CO0,PUT,335.0,4.06,0.0,0.0,317.1,0,0.0,,0.9465671641791046
29,2026-02-25 23:01:31.106387,SR170CO8,PUT,170.0,2.048,0.0,0.0,317.1,0,0.0,,1.865294117647059
30,2026-02-25 23:01:31.363444,SR350CR6,PUT,350.0,0.304,0.0,0.0,317.1,0,0.0,,0.906
31,2026-02-25 23:01:31.624553,SR290CF9,CALL,290.0,3.313,0.0,0.0,317.1,0,0.0,,1.093448275862069
32,2026-02-25 23:01:31.886216,SR140CU9,PUT,140.0,3.562,0.0,0.0,317.1,0,0.0,,2.265
33,2026-02-25 23:01:32.149590,SR170CF9,CALL,170.0,3.313,0.0,0.0,317.1,0,0.0,,1.865294117647059
34,2026-02-25 23:01:32.415622,SR375CX8,PUT,375.0,2.815,0.0,0.0,317.1,0,0.0,,0.8456
35,2026-02-25 23:01:32.683121,SR120CX9,PUT,120.0,3.811,0.0,0.0,317.1,0,0.0,,2.6425
